City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
238,College,US,2021-12-12 22:40:51,64.8569,-147.8028,-8.79,68,75,0.0,mist
239,Aksarka,RU,2021-12-12 22:41:47,66.5606,67.7975,-9.51,100,90,2.33,overcast clouds
240,Geraldton,AU,2021-12-12 22:31:08,-28.7667,114.6,57.61,82,58,5.75,broken clouds
241,Bathsheba,BB,2021-12-12 22:41:47,13.2167,-59.5167,81.21,83,75,18.41,broken clouds
242,Hamilton,US,2021-12-12 22:28:36,39.1834,-84.5333,45.79,49,1,1.99,clear sky
243,Buenos Aires,AR,2021-12-12 22:40:01,-34.6132,-58.3772,78.98,71,75,6.91,broken clouds
244,Minab,IR,2021-12-12 22:41:48,27.1467,57.0801,54.9,23,0,12.1,clear sky
245,Sept-Iles,CA,2021-12-12 22:40:25,50.2001,-66.3821,29.05,67,40,21.0,scattered clouds
246,Iqaluit,CA,2021-12-12 22:41:48,63.7506,-68.5145,6.53,65,75,10.0,broken clouds
247,Curaca,BR,2021-12-12 22:41:49,-8.9903,-39.9094,86.76,35,96,5.37,overcast clouds
248,Billings,US,2021-12-12 22:41:49,45.7833,-108.5007,49.77,34,20,13.8,few clouds
249,North Bend,US,2021-12-12 22:41:50,43.4065,-124.2243,49.86,98,99,1.01,overcast clouds
250,Petropavlovsk-Kamchatskiy,RU,2021-12-12 22:41:50,53.0452,158.6483,27.19,74,75,4.47,broken clouds
251,Marataizes,BR,2021-12-12 22:41:50,-21.0433,-40.8244,76.68,89,83,19.33,moderate rain
252,Tinskoy,RU,2021-12-12 22:41:50,56.1525,96.9161,10.78,93,100,8.16,overcast clouds
253,Ngunguru,NZ,2021-12-12 22:41:51,-35.6167,174.5,72.16,92,100,10.8,overcast clouds
254,Todos Santos,MX,2021-12-12 22:41:51,23.45,-110.2167,79.02,68,51,5.21,broken clouds
255,Hofn,IS,2021-12-12 22:34:40,64.2539,-15.2082,38.86,90,100,2.3,overcast clouds
256,Carutapera,BR,2021-12-12 22:41:52,-1.195,-46.02,79.41,83,25,7.92,scattered clouds
